2024-02-06 15:48:35 status unpacked gcc-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status half-configured gcc-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status installed gcc-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 configure libstdc++-9-dev:amd64 9.4.0-1ubuntu1~20.04.2 <none>
2024-02-06 15:48:35 status unpacked libstdc++-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status half-configured libstdc++-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status installed libstdc++-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 configure gcc:amd64 4:9.3.0-1ubuntu2 <none>
2024-02-06 15:48:35 status unpacked gcc:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:35 status half-configured gcc:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:35 status installed gcc:amd64 4:9.3.0-1ubuntu2
